Horse Name,Horse Id,Country of Origin,Age,Sex,Colour,Import Type,Season Stakes*,Total Stakes*,No. of 1-2-3-Starts*,No. of starts in past 10 race meetings,Current Stable Location,Arrival Date,Import Date,Trainer,Owner,Current Rating,Start of Season Rating,Sire,Dam,Dam's Sire,Same Sire
ATULLIBIGEAL,G173,AUS,5,Gelding,Bay,PP,"$6,290,150","$10,227,625",4-3-3-27,2,Conghua,05/06/2024,13/09/2021,HAD,Zeng Shuida & Ma Yi,97,82,Street Boss,Kellys Ocean Jewel,Dansili,STREET CONQUEROR | STURDY RUBY | TELECOM SPEED
ALL FOR ST PAUL'S,C517,AUS,7,Gelding,Bay,PPG,"$4,149,600","$14,375,505",9-7-3-50,1,Conghua,03/06/2024,10/06/2019,LFC,St Paul's Boys Syndicate,94,88,Magnus,So Enticing,Ice Point,HAPPY AGAIN | HARMONY N BLESSED
ADEFILL,G317,AUS,5,Gelding,Bay,PPG,"$5,179,800","$8,484,625",6-3-3-21,1,Conghua,05/06/2024,20/12/2021,YPF,Tam Kwok Cheung,89,72,Deep Field,Dijonnaise,I Am Invincible,J475 | J499 | ALMIGHTY KICK | BLAZING WIND | BOOMBAYAH | CALIFORNIA DEEPLY | CALIFORNIA ICON | CALIFORNIA TOUCH | CHEER FOR SOUTH | CIRCUIT MAXIMUS | CIRCUIT SEVEN | DAN ATTACK | DAY DAY VICTORY | DENFIELD | DIAMOND FLARE | DIAMOND SOARS | DRACO | DRALA | DURHAM STAR | EVERYONE'S VICTORY | FALCON COURT | FASHION LEGEND | GALLANT GOODY | GORGEOUS VITALITY | HAPPY SHOOTER | HAYDAY | HINOKAMI KAGURA | HOWDEEPISYOURLOVE | HYPER DRAGON BALL | JOY OF SPRING | LA MOMENTO | LIFE OF STONE | LUCKY ARCHANGEL | MASTER MASTERMIND | MORE RICE | MUGEN | NOBLE ONE | NOBLE WIN | PACKING BOLE | PACKING BRILLIANT | PARENTS' LOVE | ROBOT KNIGHT | RUN RUN TIMING | SELF IMPROVEMENT | SPLENDID STAR | SPONGE BABE | SPORTS LEGEND | SUGAR BALL | SUPER ELITE | SUPER GLORY | SUPER HIGHWAY | SUPREME LUCKY | TEAM HAPPY | THE GOLDEN SCENERY | THE GOOD DEAL | VIGOR ELLEEGANT | VIVA GRACIOUSNESS | VOYAGE BUBBLE | WINNING MONEY | YEE CHEONG RAIDER | YOO YOO KNIGHT | YOUTHFUL DEAL
APACHE PASS,D433,AUS,7,Gelding,Bay,PP,"$796,850","$6,212,600",3-5-2-33,3,Conghua,31/05/2024,04/05/2020,NPC,Leo Racing Syndicate,80,90,War Chant,Apache Point,High Chaparral,
ALACRITY,H210,CHI,5,Gelding,Bay,PP,"$2,074,600","$4,327,600",1-2-1-18,1,Hong Kong,30/03/2024,29/10/2022,RW,Harmony Racing Syndicate,78,84,Lookin At Lucky,Afirmate Catalina,Special Quest,MOMENTS IN TIME
AWESOME FLUKE,J050,AUS,4,Gelding,Bay,PP,"$3,302,650","$3,302,650",1-0-2-9,2,Hong Kong,04/04/2024,31/07/2023,YPF,Lam Fuk Tak,74,77,Awesome Rock,Jayquin Star,O'Reilly,
ASTROLOGER,G102,AUS,5,Gelding,Bay,PP,$0,"$6,257,750",4-1-0-26,1,Hong Kong,13/07/2022,09/08/2021,MKL,Happy Companions Syndicate,73,90,Star Turn,Fast 'N' Witty,Fastnet Rock,J489 | J490 | BEAUTY DESTINY | FORTUNE COOKIES | HASTEN DELIGHT | STAR CLUB | STAR CONTACT | STORMING DRAGON | SUGAR SUGAR
A AMERIC TE SPECSO,H037,NZ,5,Gelding,Bay,PPG,"$3,189,900","$4,833,450",4-1-5-26,2,Hong Kong,01/06/2024,05/07/2022,SJJ,Chan Yee Lap,71,61,Per Incanto,Island Time,Al Akbar,AEROINVINCIBLE | BABY CRYSTAL | BRAVO WARRIOR | CAMP FIRE | CAN'T GO WONG | CIRCUIT VICTORY | COLOURFUL PRINCE | DUKE WAI | EN PERFECTO | FLYING DRAGON | GOLDEN LINK | GOLDEN LUCK | GRAND BOSS | HAPPY DAY | HEALTHY HEALTHY | I GIVE | LITTLE BROSE | LUCKY FIONN | MONARCH COUNTY | POSITIVE SMILE | RAGING BLIZZARD | RATTAN WORLD | ROARING BEBE | SIXTH GENERATION | THE PRIME | UNISON | WOOD ON FIRE
ALPHA ONE,J435,AUS,4,Colt,Bay,PP,$0,$0,0-0-0-0,0,Hong Kong,18/03/2024,18/03/2024,MWK,Cheng Keung Fai,71,71,Super One,Cash First,Exceed And Excel,E UNIVERSE | FOXHUNTER GO | GLUCK RACER | GOLDEN ONE | MOTOMAN | NOTTHESILLYONE | SHINY RAPIDASH | SIX BEST FRIENDS
AMAZING VICTORY,G123,AUS,5,Gelding,Bay,PPG,"$618,450","$7,173,425",3-7-6-31,1,Hong Kong,01/06/2024,09/08/2021,SWY,Chan Kwok Yuen,71,79,Sizzling,Stitchery,Mossman,
ATOMIC FORCE,G221,IRE,5,Gelding,Chestnut,PP,"$864,900","$3,426,500",1-1-3-25,1,Hong Kong,23/03/2024,02/10/2021,MWK,Martin Siu Kim Sun,69,80,Cotai Glory,Atlas Silk,Dansili,CIRCUIT TEN | SKYEY BLUE
AORAKI SUMMIT,H300,NZ,4,Gelding,Brown | Grey,PP,"$725,400","$725,400",1-0-0-6,0,Hong Kong,30/05/2024,16/01/2023,LFC,Lily Chan Li Lei,68,64,Tavistock,Pondarosa Miss,High Chaparral,BEATO | CASA COSMO | CASA LEGEND | CIRCUIT FIERY | FLOOF | FOREVER FOLKS | PRECISION GOAL | RUNNING AHEAD | SUPER GOLDI | SUPERB DADDY
ALLGREEKTOME,H007,AUS,5,Gelding,Brown,PPG,"$325,500","$2,235,675",1-4-1-11,0,Conghua,23/02/2024,07/06/2022,HDA,Mr & Mrs James Tien Pei Chun,67,66,Scissor Kick,Phaedra,Hussonet,INVINCIBLE LUCKY | LITTLE FAIRY
ACE VICTORY,H076,AUS,5,Gelding,Bay,PP,"$878,400","$878,400",1-0-0-7,1,Hong Kong,02/04/2024,26/07/2022,TYS,High Value Syndicate,66,63,Vancouver,Anatole,Quiet American,ALP'S AFFECTION | ALWAYS FLUKE | GRAND NOVA | MISSION VOICE | MULTISUPER
ALSONSO,J405,AUS,3,Gelding,Chestnut,PP,$0,$0,0-0-0-0,0,Conghua,24/05/2024,12/03/2024,NM,Zhang Yuesheng,66,66,Zoustar,Soriano,Savabeel,AMAZING RUN | CALIFORNIATOTALITY | CELESTIAL COLOURS | CHEVAL VICTORIOUS | CHIU CHOW SPIRIT | HAPPY HORSE | HEALTHY HAPPY | LOVING VIBES | MY FLYING ANGEL | NOT USUAL STAR | PATCH OF THETA | PERFECT GENERAL | RAGING RAPIDS | SOLAR PARTNER | STELLAR EXPRESS | SUMMIT CHEERS | SUPER FORTUNE | SUPER LUCKY DRAGON | SWEET DIAMOND | YOUNG CHAMPION
