Horse Number,Horse Name,Race Index,Placing,Date,Racecourse,Track,Course,Distance,Going,Race Class,Draw,Rating,Trainer,Jockey,LBW,Win Odds,Actual Weight,Finish Time,Declared Horse Weight,Running Position1,Running Position2,Running Position3,Running Position4,Running Position5,B,B1,B2,B-,BO,BO1,BO2,BO-,CC,CC1,CC2,CC-,CP,CP1,CP2,CP-,CO,CO1,CO2,CO-,E,E1,E2,E-,H,H1,H2,H-,P,P1,P2,P-,PC,PC1,PC2,PC-,PS,PS1,PS2,PS-,SB,SB1,SB2,SB-,SR,SR1,SR2,SR-,TT,TT1,TT2,TT-,V,V1,V2,V-,VO,VO1,VO2,VO-,XB,XB1,XB2,XB-
HK_2021_G173,ATULLIBIGEAL,719,05,02/06/24,ST,Turf,B,1600,GF,G3,2,97,HAD,BA,3,8.2,115,1.34.43,1062,3,4,3,5,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,677,02,19/05/24,ST,Turf,C+3,1400,G,1,6,97,HAD,PZ,SH,3.6,122,1.21.59,1061,6,6,6,2,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,625,04,28/04/24,ST,Turf,A,1400,Y,2,10,97,HAD,BH,1-1/4,7.6,132,1.22.55,1058,13,12,11,4,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,585,05,14/04/24,ST,Turf,C,1200,GF,2,7,97,HAD,BH,3-1/2,7,134,1.09.11,1061,7,7,5,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,447,03,25/02/24,ST,Turf,A+3,1600,G,2,2,96,HAD,PZ,1/2,3,131,1.35.31,1065,1,1,2,3,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,434,01,18/02/24,ST,Turf,C+3,1400,G,2,3,90,HAD,AVB,3/4,8.2,130,1.22.07,1070,6,6,4,1,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,359,03,21/01/24,ST,Turf,A,1400,G,2,5,90,HAD,PZ,2,7.5,121,1.21.60,1063,10,9,8,3,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,303,05,01/01/24,ST,Turf,A,1400,G,G3,6,90,HAD,DMK,2-3/4,10,117,1.22.41,1075,8,8,8,5,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,241,07,10/12/23,ST,Turf,A,1400,G,2,4,90,HAD,DMK,1-1/2,7.2,122,1.22.52,1059,6,6,6,7,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,201,02,26/11/23,ST,Turf,C,1600,G,1,7,88,HAD,DMK,SH,8.3,118,1.34.68,1055,7,7,6,2,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,163,04,11/11/23,ST,Turf,A+3,1400,G,1,2,87,HAD,DMK,N,5.4,116,1.21.76,1056,5,5,5,4,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,110,01,22/10/23,ST,Turf,B+2,1400,G,2,2,82,HAD,DMK,HD,11,119,1.21.46,1057,8,7,6,1,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,826,07,12/07/23,HV,Turf,B,1650,GF,2,11,84,HAD,BH,4,7.6,124,1.40.34,1045,11,10,10,7,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,749,09,14/06/23,HV,Turf,B,1650,G,2,7,85,HAD,DEE,9-3/4,7.2,120,1.40.41,1043,9,10,11,9,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,700,04,28/05/23,ST,Turf,A,1400,G,2,7,85,HAD,DEE,3/4,9.2,122,1.21.69,1053,10,10,8,4,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,509,13,19/03/23,ST,Turf,A,2000,G,4YO,12,85,HAD,FEL,8-3/4,79,126,2.04.16,1048,12,12,14,13,13,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,489,05,11/03/23,ST,Turf,C,1400,G,2,9,85,HAD,FEL,4,11,120,1.22.42,1043,9,9,9,5,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,435,01,19/02/23,ST,Turf,A,1600,G,3,12,78,HAD,BH,1-1/4,10,133,1.34.99,1047,10,10,9,1,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,367,05,24/01/23,ST,Turf,C,1400,G,3,3,78,HAD,BH,4,12,135,1.22.49,1048,9,8,7,5,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,298,01,01/01/23,ST,Turf,C,1200,G,3,10,73,HAD,BH,N,5.7,129,1.09.63,1046,7,8,1,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,241,07,11/12/22,ST,Turf,A,1400,G,3,5,75,HAD,BH,2-1/2,18,130,1.22.47,1039,7,7,5,7,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,175,11,16/11/22,HV,Turf,B,1200,G,3,6,75,HAD,CLR,5,7.3,132,1.10.29,1046,11,12,11,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,108,02,19/10/22,HV,Turf,B,1200,GF,3,9,73,HAD,CLR,3/4,36,130,1.09.32,1046,12,12,2,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,767,06,22/06/22,HV,Turf,B,1200,G,3,4,75,HAD,SHB,3,8.9,132,1.10.69,1057,10,9,6,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HK_2021_G173,ATULLIBIGEAL,679,WV-A,18/05/22,HV,Turf,B,1200,G,3,--,75,HAD,PZ,--,--,129,--,--,--,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
