date,racing number,pla.,horse no.,horse id,jockey id,trainer id,Act. Wt.,Declar. horse Wt.,Dr.,LBW,Running Position 1,Running Position 2,Running Position 3,Running Position 4,Running Position 5,Finish time,Win Odds
02/06/2024,1,1,7,HK_2021_G322,HEL,NM,129,1054,1,-,5,4,4,1,1,2:01.28,4
02/06/2024,1,2,9,HK_2020_E194,BA,TYS,122,997,2,2,1,1,1,2,2,2:01.61,3.5
02/06/2024,1,3,6,HK_2022_H196,AA,SWY,129,1092,5,3,2,3,3,3,3,2:01.76,5.9
02/06/2024,1,4,1,HK_2022_H486,CCY,CAS,132,1165,11,3-1/2,3,2,2,4,4,2:01.86,12
02/06/2024,1,5,3,HK_2020_E166,DMK,HDA,132,1132,3,4-1/2,6,7,8,7,5,2:02.00,41
02/06/2024,1,6,12,HK_2022_H285,PMF,SJJ,115,1118,10,5-3/4,10,10,11,12,6,2:02.19,19
02/06/2024,1,7,10,HK_2021_G072,MHT,CCW,119,1154,4,5-3/4,4,5,6,5,7,2:02.22,8.9
02/06/2024,1,8,4,HK_2020_E025,TEK,HAD,131,1101,6,8,7,6,5,6,8,2:02.58,15
02/06/2024,1,9,11,HK_2022_H040,CML,YCH,117,1011,9,10,9,8,7,8,9,2:02.89,33
02/06/2024,1,10,5,HK_2021_G295,BHW,WDJ,129,1058,8,10-1/4,8,9,9,11,10,2:02.91,23
02/06/2024,1,11,2,HK_2022_H083,BH,YTP,133,1215,12,10-1/4,12,12,12,9,11,2:02.92,15
02/06/2024,1,12,8,HK_2019_D235,TBE,TYS,123,1095,7,12-1/4,11,11,10,10,12,2:03.25,30
02/06/2024,1,WV,13,HK_2020_E409,YML,SWY,115,---,---,---,---,,,,,---,---
02/06/2024,2,1,6,HK_2021_G306,TEK,LFC,119,1174,6,-,3,2,2,1,,1:22.36,8
02/06/2024,2,2,5,HK_2021_G335,HCY,LKW,122,1090,4,N,1,1,1,2,,1:22.43,6.8
02/06/2024,2,3,2,HK_2021_G455,HEL,LKW,127,1096,2,1,4,4,3,3,,1:22.54,2.3
02/06/2024,2,4,3,HK_2021_G457,PMF,SCS,124,1215,1,1-1/4,2,3,4,4,,1:22.57,2.6
