date,racing number,pla.,horse no.,horse id,horse name,jockey id,jockey name,trainer id,trainer name,Act. Wt.,Declar. horse Wt.,Dr.,LBW,Running Position 1,Running Position 2,Running Position 3,Running Position 4,Running Position 5,Finish time,Win Odds
08/06/2024,1,1,6,HK_2022_H195,NOBLE WIN,HAA,A Hamelin,SJJ,J Size,128,1184,4,-,11,10,10,1,,1:22.16,5.3
08/06/2024,1,2,1,HK_2021_G031,MY INTELLIGENT,PZ,Z Purton,SWY,W Y So,134,1088,11,N,6,6,4,2,,1:22.23,4.4
08/06/2024,1,3,4,HK_2020_E343,HEARTY WISH,BH,H Bowman,WDJ,D J Whyte,130,1054,10,1-3/4,8,8,8,3,,1:22.45,31
08/06/2024,1,4,5,HK_2021_G285,JAZZ CLUB,AVB,B Avdulla,MKL,K L Man,128,1155,8,2,7,7,7,4,,1:22.48,8.3
08/06/2024,1,5,10,HK_2016_A164,RIGHT HONOURABLE,TBE,B Thompson,NM,M Newnham,126,1008,2,2-1/4,9,9,9,5,,1:22.54,15
08/06/2024,1,6,3,HK_2021_G395,DRAGON DELIGHT,WEC,E C W Wong,HDA,D A Hayes,123,1121,9,2-1/2,2,4,5,6,,1:22.57,9.9
08/06/2024,1,7,7,HK_2021_G251,SUPER JOY,LDE,K C Leung,MWK,W K Mo,128,1093,12,4,13,13,12,7,,1:22.78,30
08/06/2024,1,8,9,HK_2021_G425,GENERAL ACE,HCY,C Y Ho,LKW,K W Lui,126,1055,3,4-1/4,10,11,11,8,,1:22.83,31
08/06/2024,1,9,12,HK_2020_E403,TSUEN WAN GLORY,CML,M Chadwick,MKL,K L Man,125,1093,1,4-3/4,4,2,3,9,,1:22.92,16
08/06/2024,1,10,8,HK_2021_G414,BEAT HOLLOW,BA,A Badel,TYS,Y S Tsui,127,1208,14,5,1,1,1,10,,1:22.97,16
08/06/2024,1,11,2,HK_2022_H465,THE CONCENTRATION,FEL,L Ferraris,YPF,P F Yiu,134,1055,5,6-1/2,5,5,6,11,,1:23.21,7.4
08/06/2024,1,12,14,HK_2022_H248,REGENCY HAPPY STAR,HEL,L Hewitson,CCW,C W Chang,123,1057,6,6-1/2,3,3,2,12,,1:23.22,8
08/06/2024,1,13,13,HK_2021_G372,YEABOI,AA,A Atzeni,YCH,C H Yip,125,1123,13,10-3/4,12,12,13,13,,1:23.88,27
08/06/2024,1,WV-A,11,HK_2022_H271,MORE RICE,TEK,K Teetan,YTP,T P Yung,125,---,---,---,---,,,,,---,---
08/06/2024,2,1,7,HK_2023_J358,FAST NETWORK,PZ,Z Purton,YCH,C H Yip,127,1169,9,-,3,3,1,,,0:56.62,2.7
